WorkOrderID,CreatedDate,CompletedDate,EngineerID,RegionID,Priority,SLAID,Status
1,2023-01-01,2023-01-04,12,3,Medium,2,Closed
2,2023-01-01,2023-01-09,14,3,High,1,Closed
3,2023-01-01,2023-01-07,6,2,Medium,2,Closed
4,2023-01-01,2023-01-04,12,3,Medium,2,Closed
5,2023-01-01,2023-01-10,12,3,Medium,2,Closed
6,2023-01-01,2023-01-06,13,3,High,1,Closed
7,2023-01-01,2023-01-04,16,4,High,1,Closed
8,2023-01-01,2023-01-05,20,4,High,1,Closed
9,2023-01-01,,1,1,High,1,Open
10,2023-01-01,2023-01-06,10,2,Low,3,Closed
11,2023-01-01,2023-01-10,10,2,Medium,2,Closed
12,2023-01-01,2023-01-09,13,3,Medium,2,Closed
13,2023-01-01,2023-01-10,17,4,Low,3,Closed
14,2023-01-01,2023-01-08,20,4,Low,3,Closed
15,2023-01-01,2023-01-04,9,2,Medium,2,Closed
16,2023-01-01,2023-01-10,18,4,High,1,Closed
17,2023-01-01,2023-01-05,19,4,High,1,Closed
18,2023-01-01,2023-01-05,3,1,Medium,2,Closed
19,2023-01-01,,7,2,High,1,Open
20,2023-01-01,2023-01-05,13,3,Low,3,Closed
21,2023-01-01,,20,4,Medium,2,Open
22,2023-01-01,2023-01-04,14,3,Low,3,Closed
23,2023-01-01,2023-01-09,20,4,Medium,2,Closed
24,2023-01-01,,20,4,Low,3,Open
25,2023-01-01,2023-01-02,18,4,Low,3,Closed
26,2023-01-01,2023-01-06,9,2,High,1,Closed
27,2023-01-02,2023-01-08,5,1,Low,3,Closed
28,2023-01-02,2023-01-10,6,2,Medium,2,Closed
29,2023-01-02,,1,1,Low,3,Open
30,2023-01-02,2023-01-06,9,2,Medium,2,Closed
31,2023-01-02,2023-01-06,14,3,High,1,Closed
32,2023-01-02,2023-01-11,14,3,Medium,2,Closed
33,2023-01-02,2023-01-11,11,3,Low,3,Closed
34,2023-01-02,,13,3,Low,3,Open
35,2023-01-02,2023-01-05,7,2,Medium,2,Closed
36,2023-01-02,,16,4,Low,3,Open
37,2023-01-02,2023-01-11,20,4,Low,3,Closed
38,2023-01-02,2023-01-05,20,4,High,1,Closed
39,2023-01-02,2023-01-06,8,2,Low,3,Closed
40,2023-01-02,2023-01-08,20,4,Medium,2,Closed
41,2023-01-02,2023-01-03,16,4,Medium,2,Closed
42,2023-01-02,2023-01-05,17,4,Low,3,Closed
43,2023-01-02,2023-01-08,3,1,Low,3,Closed
44,2023-01-02,2023-01-05,7,2,Medium,2,Closed
45,2023-01-02,,2,1,Low,3,Open
46,2023-01-02,,10,2,Low,3,Open
47,2023-01-03,2023-01-05,6,2,High,1,Closed
48,2023-01-03,2023-01-10,10,2,High,1,Closed
49,2023-01-03,2023-01-12,14,3,Low,3,Closed
50,2023-01-03,2023-01-06,3,1,High,1,Closed
51,2023-01-03,2023-01-12,11,3,Medium,2,Closed
52,2023-01-03,,14,3,High,1,Open
53,2023-01-03,2023-01-08,5,1,High,1,Closed
54,2023-01-03,2023-01-07,18,4,Medium,2,Closed
55,2023-01-03,2023-01-11,4,1,High,1,Closed
56,2023-01-03,2023-01-10,10,2,Low,3,Closed
57,2023-01-03,2023-01-05,7,2,High,1,Closed
58,2023-01-03,2023-01-08,17,4,Low,3,Closed
59,2023-01-03,2023-01-09,16,4,High,1,Closed
60,2023-01-03,2023-01-07,14,3,Medium,2,Closed
61,2023-01-03,2023-01-08,11,3,Medium,2,Closed
62,2023-01-03,2023-01-06,3,1,High,1,Closed
63,2023-01-03,2023-01-11,13,3,Medium,2,Closed
64,2023-01-03,2023-01-04,4,1,Low,3,Closed
65,2023-01-03,,2,1,Medium,2,Open
66,2023-01-03,2023-01-06,15,3,High,1,Closed
67,2023-01-03,2023-01-05,10,2,High,1,Closed
68,2023-01-03,2023-01-11,19,4,Low,3,Closed
69,2023-01-04,2023-01-07,2,1,Low,3,Closed
70,2023-01-04,2023-01-09,14,3,High,1,Closed
71,2023-01-04,2023-01-05,2,1,Medium,2,Closed
72,2023-01-04,2023-01-08,13,3,Medium,2,Closed
73,2023-01-04,,12,3,Medium,2,Open
74,2023-01-04,2023-01-13,10,2,Medium,2,Closed
75,2023-01-04,2023-01-11,15,3,Medium,2,Closed
76,2023-01-04,2023-01-09,4,1,High,1,Closed
77,2023-01-04,,17,4,High,1,Open
78,2023-01-04,,15,3,Medium,2,Open
79,2023-01-04,2023-01-09,18,4,Low,3,Closed
80,2023-01-04,,13,3,Medium,2,Open
81,2023-01-04,2023-01-07,17,4,Low,3,Closed
82,2023-01-04,,8,2,High,1,Open
83,2023-01-04,2023-01-12,5,1,High,1,Closed
84,2023-01-04,2023-01-13,12,3,Medium,2,Closed
85,2023-01-04,2023-01-09,13,3,Low,3,Closed
86,2023-01-04,,9,2,Medium,2,Open
87,2023-01-04,2023-01-09,5,1,Low,3,Closed
88,2023-01-04,,7,2,High,1,Open
89,2023-01-04,2023-01-12,8,2,High,1,Closed
90,2023-01-04,2023-01-10,11,3,Medium,2,Closed
91,2023-01-04,2023-01-07,7,2,Low,3,Closed
92,2023-01-05,2023-01-07,5,1,Low,3,Closed
93,2023-01-05,,12,3,Low,3,Open
94,2023-01-05,,14,3,Medium,2,Open
95,2023-01-05,2023-01-06,17,4,Low,3,Closed
96,2023-01-05,,1,1,Medium,2,Open
97,2023-01-05,2023-01-08,12,3,Medium,2,Closed
98,2023-01-05,,3,1,Low,3,Open
99,2023-01-05,2023-01-13,8,2,Low,3,Closed
100,2023-01-05,2023-01-06,11,3,Low,3,Closed
101,2023-01-05,2023-01-12,20,4,Medium,2,Closed
102,2023-01-05,,4,1,Medium,2,Open
103,2023-01-05,2023-01-08,16,4,High,1,Closed
104,2023-01-05,,13,3,Low,3,Open
105,2023-01-05,2023-01-06,20,4,Low,3,Closed
106,2023-01-05,2023-01-08,13,3,Low,3,Closed
107,2023-01-05,2023-01-13,10,2,Medium,2,Closed
108,2023-01-05,2023-01-07,7,2,Medium,2,Closed
109,2023-01-05,2023-01-11,14,3,Medium,2,Closed
110,2023-01-05,2023-01-07,9,2,Low,3,Closed
111,2023-01-05,2023-01-14,3,1,Medium,2,Closed
112,2023-01-05,,12,3,High,1,Open
113,2023-01-05,2023-01-11,9,2,Medium,2,Closed
114,2023-01-05,2023-01-13,11,3,Low,3,Closed
115,2023-01-05,2023-01-07,7,2,High,1,Closed
116,2023-01-05,2023-01-10,9,2,High,1,Closed
117,2023-01-05,2023-01-14,20,4,Medium,2,Closed
118,2023-01-05,2023-01-07,18,4,Low,3,Closed
119,2023-01-05,2023-01-08,1,1,High,1,Closed
120,2023-01-05,2023-01-13,18,4,High,1,Closed
121,2023-01-05,2023-01-10,20,4,Medium,2,Closed
122,2023-01-05,2023-01-12,1,1,High,1,Closed
123,2023-01-05,2023-01-13,2,1,High,1,Closed
124,2023-01-05,,11,3,High,1,Open
